web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588815722-4957","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","S","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=S","Sammy Leung","https://wiki.d-addicts.com/Sammy_Leung","null","null","/images/3/38/Sammyleung.jpg"
"1588815753-4989","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","R","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=R","Rocky Cheng","https://wiki.d-addicts.com/Rocky_Cheng","178","81","/images/b/b9/Rockycheng.jpg"
"1588813545-2514","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","S","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=S","Sandra Ng","https://wiki.d-addicts.com/Sandra_Ng","null","null","/images/6/61/Sandrang.jpg"
"1588814001-3099","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","L","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=L","Leanne Wong","https://wiki.d-addicts.com/Leanne_Wong","null","null","/images/c/ce/WongKaMan.jpg"
"1588812609-1418","https://wiki.d-addicts.com/Category:HKArtist","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","C","https://wiki.d-addicts.com/index.php?title=Category:HKSinger&from=C","Cha Cha Chan","https://wiki.d-addicts.com/Cha_Cha_Chan","173","49","/images/6/6d/Ccc.png"
"1588813614-2599","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","P","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=P","Poon Fong Fong","https://wiki.d-addicts.com/Poon_Fong_Fong","null","null","/images/5/5c/PoonFongFong.jpg"
"1588814012-3110","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","L","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=L","Lau Mei Kuen","https://wiki.d-addicts.com/Lau_Mei_Kuen","null","null","/images/thumb/6/63/LauMeiKuen.jpg/150px-LauMeiKuen.jpg"
"1588813863-2915","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","L","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=L","Lucy Li","https://wiki.d-addicts.com/Lucy_Li","165","50","/images/e/e1/Lucylimanfong.jpg"
"1588814775-4005","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","C","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=C","Chan Ka Yee","https://wiki.d-addicts.com/Chan_Ka_Yee","null","null","/images/5/51/ChanKaYee.jpg"
"1588816844-5971","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","D","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=D","Deno Cheung","https://wiki.d-addicts.com/Deno_Cheung","178","70","/images/8/8d/DenoCheung.jpg"
"1588816910-6030","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","C","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=C","Chun Kai Wai","https://wiki.d-addicts.com/Chun_Kai_Wai","173","61","/images/thumb/4/4f/ChunKaiWai.jpg/150px-ChunKaiWai.jpg"
"1588817175-6246","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","C","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=C","Chan Bok Jang","https://wiki.d-addicts.com/Chan_Bok_Jang","null","null",""
"1588816165-5342","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","L","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=L","Lee Cheung Dou","https://wiki.d-addicts.com/Lee_Cheung_Dou","null","null",""
"1588817347-6371","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","A","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=A","Anthony Wong","https://wiki.d-addicts.com/Anthony_Wong","178","null","/images/8/8d/AnthonyWong.jpg"
"1588812427-1188","https://wiki.d-addicts.com/Category:HKArtist","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","E","https://wiki.d-addicts.com/index.php?title=Category:HKSinger&from=E","Elvina Kong","https://wiki.d-addicts.com/Elvina_Kong","168","null","/images/5/58/ElvinaKong.jpg"
"1588811594-137","https://wiki.d-addicts.com/Category:HKArtist","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","W","https://wiki.d-addicts.com/index.php?title=Category:HKSinger&from=W","Wada Hiromi","https://wiki.d-addicts.com/Wada_Hiromi","168","49","/images/8/86/Wada_Hiromi.jpg"
"1588817219-6281","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","B","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=B","Bruce Li","https://wiki.d-addicts.com/Bruce_Li","null","null","/images/1/1c/BruceLi.jpg"
"1588814695-3907","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","C","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=C","Chloe Lam","https://wiki.d-addicts.com/Chloe_Lam","null","null","/images/d/d0/Chloelam.jpg"
"1588813918-2976","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","L","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=L","Lily Liu","https://wiki.d-addicts.com/Lily_Liu","null","null","/images/9/9e/LilyLiu.jpg"
"1588814789-4020","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","C","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=C","Chan Bo Yee","https://wiki.d-addicts.com/Chan_Bo_Yee","null","null","/images/a/a5/Chan_Bo_Yee.jpg"
"1588814054-3159","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","L","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=L","Lai Suen","https://wiki.d-addicts.com/Lai_Suen","null","null","/images/9/95/LaiSuen.jpg"
"1588815961-5156","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","N","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=N","Natalis Chan","https://wiki.d-addicts.com/Natalis_Chan","null","null","/images/7/78/NatalisChan.jpg"
"1588814049-3152","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","L","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=L","Lam Kei Yan","https://wiki.d-addicts.com/Lam_Kei_Yan","null","null","/images/d/db/Lam_Kei_Yun.jpg"
"1588813712-2715","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","N","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=N","Natalie Wong","https://wiki.d-addicts.com/Natalie_Wong","165","50","/images/6/63/Nataliewong.jpg"
"1588811569-89","https://wiki.d-addicts.com/Category:HKArtist","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Y","https://wiki.d-addicts.com/index.php?title=Category:HKSinger&from=Y","Yoyo Chen","https://wiki.d-addicts.com/Yoyo_Chen","165","43","/images/thumb/6/68/Yoyochen.jpg/300px-Yoyochen.jpg"
"1588816673-5801","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","G","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=G","Gordon Siu","https://wiki.d-addicts.com/Gordon_Siu","null","null","/images/1/15/GordonSiu.jpg"
"1588815826-5041","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","P","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=P","Pierre Ngo","https://wiki.d-addicts.com/Pierre_Ngo","174","null","/images/thumb/4/4a/Ngo_Ka_Nin.JPG/200px-Ngo_Ka_Nin.JPG"
