web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588819803-8163","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","L","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=L","Lee Ye Na","https://wiki.d-addicts.com/Lee_Ye_Na","162","null","/images/thumb/0/0e/Lee_Ye_Na.jpg/300px-Lee_Ye_Na.jpg"
"1588828378-14313","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","C","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=C","Cha Seung Won","https://wiki.d-addicts.com/Cha_Seung_Won","188","80","/images/c/c3/Cha_Seung_Won.jpg"
"1588825430-11961","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","O","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=O","Oh Dae Hwan","https://wiki.d-addicts.com/Oh_Dae_Hwan","180","null","/images/thumb/2/27/Oh_Dae_Hwan.JPG/300px-Oh_Dae_Hwan.JPG"
"1588817920-6779","https://wiki.d-addicts.com/Category:KArtist","KDirector","https://wiki.d-addicts.com/Category:KDirector","K","https://wiki.d-addicts.com/index.php?title=Category:KDirector&from=K","Kim Pyung Joong","https://wiki.d-addicts.com/Kim_Pyung_Joong","null","null","/images/thumb/7/7e/Kim_pyung_joong.jpg/300px-Kim_pyung_joong.jpg"
"1588827789-13872","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","H","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=H","Han Ki Won","https://wiki.d-addicts.com/Han_Ki_Won","180","67","/images/f/f2/Han_Ki_Won.jpg"
"1588822974-10226","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","C","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=C","Clara","https://wiki.d-addicts.com/Clara","168","48","/images/d/dc/LeeSungMin%281986%29.jpg"
"1588821843-9557","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","J","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=J","Jennifer Lee","https://wiki.d-addicts.com/Jennifer_Lee","166","null","/images/9/9e/LeeJennie.jpg"
"1588811642-214","https://wiki.d-addicts.com/Category:KArtist","Oegugin","https://wiki.d-addicts.com/Category:Oegugin","E","https://wiki.d-addicts.com/index.php?title=Category:Oegugin&from=E","Eva Popiel","https://wiki.d-addicts.com/Eva_Popiel","null","null","/images/5/5f/EvaPopiel.jpg"
"1588817824-6710","https://wiki.d-addicts.com/Category:KArtist","KDirector","https://wiki.d-addicts.com/Category:KDirector","L","https://wiki.d-addicts.com/index.php?title=Category:KDirector&from=L","Lee Hyung Sun","https://wiki.d-addicts.com/Lee_Hyung_Sun","null","null",""
"1588824523-11334","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","S","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=S","Shin Choong Shik","https://wiki.d-addicts.com/Shin_Choong_Shik","168","75","/images/a/aa/ShinChoongSik.jpg"
