web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588818972-7544","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","O","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=O","Oriyama Miyu","https://wiki.d-addicts.com/Oriyama_Miyu","152","null","/images/thumb/0/00/OriyamaMiyu.jpg/200px-OriyamaMiyu.jpg"
"1588819267-7751","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","N","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=N","Nomura Masumi","https://wiki.d-addicts.com/Nomura_Masumi","163","null","/images/thumb/d/d3/Nomura_Masumi.jpg/180px-Nomura_Masumi.jpg"
"1588825217-11811","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","R","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=R","Rokkaku Shinji","https://wiki.d-addicts.com/Rokkaku_Shinji","null","null","/images/thumb/1/1a/ROKKAKUSHINJI.jpg/150px-ROKKAKUSHINJI.jpg"
"1588826408-12684","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","M","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=M","Mitsushima Shinnosuke","https://wiki.d-addicts.com/Mitsushima_Shinnosuke","177","null","/images/thumb/2/21/Mitsushima_Shinnosuke.jpg/180px-Mitsushima_Shinnosuke.jpg"
"1588818559-7275","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","S","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=S","Sasamoto Rena","https://wiki.d-addicts.com/Sasamoto_Rena","165","null","/images/d/dd/Sasamoto_Rena.jpg"
"1588826646-12981","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","K","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=K","Kisaichi Yuta","https://wiki.d-addicts.com/Kisaichi_Yuta","159","null","/images/9/92/Kisaichi_Yuta.jpg"
"1588826270-12572","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","M","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=M","Morioka Ryu","https://wiki.d-addicts.com/Morioka_Ryu","175","null","/images/thumb/3/33/Morioka_Ryu.jpg/140px-Morioka_Ryu.jpg"
"1588818289-7041","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","S","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=S","Shinohara Mai","https://wiki.d-addicts.com/Shinohara_Mai","168","null","/images/f/f7/Shinohara_mai.jpg"
"1588829376-14791","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","A","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=A","Abe Kaoru","https://wiki.d-addicts.com/Abe_Kaoru","181","null","/images/thumb/b/b2/Abe_Kaoru.jpg/220px-Abe_Kaoru.jpg"
"1588815801-5023","https://wiki.d-addicts.com/Category:JArtist","JProducer","https://wiki.d-addicts.com/Category:JProducer","I","https://wiki.d-addicts.com/index.php?title=Category:JProducer&from=I","Iwata Yuji","https://wiki.d-addicts.com/Iwata_Yuji","null","null",""
"1588829226-14753","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","A","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=A","Ando Ryoji","https://wiki.d-addicts.com/Ando_Ryoji","170","58","/images/8/86/Ando-ryoji.jpg"
"1588815302-4547","https://wiki.d-addicts.com/Category:JArtist","JProducer","https://wiki.d-addicts.com/Category:JProducer","S","https://wiki.d-addicts.com/index.php?title=Category:JProducer&from=S","Shikanai Tsugi","https://wiki.d-addicts.com/Shikanai_Tsugi","null","null",""
"1588820308-8528","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","K","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=K","Kojima Kanako","https://wiki.d-addicts.com/Kojima_Kanako","160","null","/images/c/c8/KojimaKanako.jpg"
"1588817744-6648","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","T","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=T","Tanabe Manami","https://wiki.d-addicts.com/Tanabe_Manami","157","null","/images/thumb/a/a2/Tanabe_manami.jpg/200px-Tanabe_manami.jpg"
"1588828869-14594","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","C","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=C","Chikada Shintaro","https://wiki.d-addicts.com/Chikada_Shintaro","180","63","/images/d/de/Chikadashintarou.jpg"
"1588818766-7408","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","S","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=S","Sakaguchi Rikako","https://wiki.d-addicts.com/Sakaguchi_Rikako","165","null","/images/thumb/b/b9/RIKAKOSAKAGUCHI.jpg/200px-RIKAKOSAKAGUCHI.jpg"
"1588825024-11678","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","S","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=S","Sano Gaku","https://wiki.d-addicts.com/Sano_Gaku","165","null","/images/thumb/d/d5/Sanogaku.jpg/300px-Sanogaku.jpg"
"1588818701-7366","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","S","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=S","Sakata Rikako","https://wiki.d-addicts.com/Sakata_Rikako","169","46","/images/thumb/0/0a/Sakatarikako.jpg/200px-Sakatarikako.jpg"
"1588819832-8181","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","M","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=M","Mita Hiroko","https://wiki.d-addicts.com/Mita_Hiroko","160","null","/images/3/3c/Mita_Hiroko.jpg"
"1588814140-3269","https://wiki.d-addicts.com/Category:JArtist","JSinger","https://wiki.d-addicts.com/Category:JSinger","K","https://wiki.d-addicts.com/index.php?title=Category:JSinger&from=K","Katase Nana","https://wiki.d-addicts.com/Katase_Nana","172","53","/images/thumb/2/29/Katase_Nana.jpg/300px-Katase_Nana.jpg"
"1588811964-649","https://wiki.d-addicts.com/Category:JArtist","JWriter","https://wiki.d-addicts.com/Category:JWriter","K","https://wiki.d-addicts.com/index.php?title=Category:JWriter&from=K","Komatsu Eriko","https://wiki.d-addicts.com/Komatsu_Eriko","null","null","/images/9/94/NimatsuEriko.JPG"
"1588816780-5899","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","Y","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=Y","Yokota Mayuu","https://wiki.d-addicts.com/Yokota_Mayuu","168","null","/images/thumb/9/99/Yokota_Mayuu.jpg/200px-Yokota_Mayuu.jpg"
"1588826572-12901","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","M","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=M","Manabe Toshihiro","https://wiki.d-addicts.com/Manabe_Toshihiro","null","null",""
"1588819542-7954","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","N","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=N","Nakajima Kotone","https://wiki.d-addicts.com/Nakajima_Kotone","null","null","/images/thumb/7/71/Nakajima_Kotone.jpg/180px-Nakajima_Kotone.jpg"
"1588820270-8501","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","M","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=M","Magara Kanako","https://wiki.d-addicts.com/Magara_Kanako","150","null","/images/f/f4/Picture.jpg"
"1588816258-5437","https://wiki.d-addicts.com/Category:JArtist","JDirector","https://wiki.d-addicts.com/Category:JDirector","N","https://wiki.d-addicts.com/index.php?title=Category:JDirector&from=N","Noda Yusuke (Fuji TV director)","https://wiki.d-addicts.com/Noda_Yusuke_(Fuji_TV_director)","null","null",""
"1588825777-12167","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","N","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=N","Nishizawa Jinta","https://wiki.d-addicts.com/Nishizawa_Jinta","null","null","/images/8/8e/Nishizawa_Jinta.jpg"
"1588829192-14744","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","A","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=A","Aoki Ryohei","https://wiki.d-addicts.com/Aoki_Ryohei","null","null","/images/thumb/8/83/Aoki_ryohei.jpg/200px-Aoki_ryohei.jpg"
