web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,people,people-href,height,weight,image-src
"1588812055-748","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Calvin Chen","https://wiki.d-addicts.com/Calvin_Chen","184","65","/images/thumb/1/16/Calvinchen.jpg/200px-Calvinchen.jpg"
"1588815394-4639","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Fu Jing (1995)","https://wiki.d-addicts.com/Fu_Jing_(1995)","null","null","/images/3/33/Fu_Jing.jpeg"
"1588814637-3850","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Aaron Kwok","https://wiki.d-addicts.com/Aaron_Kwok","172","64","/images/e/e4/Aaron_Kwok.jpg"
"1588812987-1835","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Big Baby Driver","https://wiki.d-addicts.com/Big_Baby_Driver","null","null","/images/4/40/Big_Baby_Driver.jpg"
"1588813880-2936","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Aiba Masaki","https://wiki.d-addicts.com/Aiba_Masaki","176","56","/images/thumb/f/f1/Aiba_Masaki.jpg/200px-Aiba_Masaki.jpg"
"1588812127-812","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Annie Liu","https://wiki.d-addicts.com/Annie_Liu","167","48","/images/b/b8/Annieliu.jpg"
"1588813146-2037","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Itano Tomomi","https://wiki.d-addicts.com/Itano_Tomomi","154","36.8","/images/1/18/Itano_Tomomi.jpg"
"1588812162-862","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Allie Ji","https://wiki.d-addicts.com/Allie_Ji","null","null","/images/5/51/AllieJi.jpg"
"1588811834-481","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Jason Wang","https://wiki.d-addicts.com/Jason_Wang","175","null","/images/7/78/JasonWang.jpg"
"1588813433-2389","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Hasebe Toru","https://wiki.d-addicts.com/Hasebe_Toru","null","null",""
"1588814777-4008","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Tan Jing","https://wiki.d-addicts.com/Tan_Jing","null","null","/images/c/cf/TanJing.jpg"
"1588812528-1325","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Han Groo","https://wiki.d-addicts.com/Han_Groo","165","46","/images/thumb/4/44/Han_Groo_1.jpg/200px-Han_Groo_1.jpg"
"1588814600-3802","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Alice Chan","https://wiki.d-addicts.com/Alice_Chan","168","51","/images/7/7b/Alicechan.jpg"
"1588813040-1902","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Andy","https://wiki.d-addicts.com/Andy","175","62","/images/4/45/Andy_Lee.jpg"
"1588815416-4661","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Estelle Chen","https://wiki.d-addicts.com/Estelle_Chen","null","null","/images/thumb/a/a4/Estelle_Chen.jpeg/300px-Estelle_Chen.jpeg"
"1588811599-144","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Roy Qiu","https://wiki.d-addicts.com/Roy_Qiu","null","null","/images/f/fe/RoyChiu.png"
"1588813841-2892","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Akiyama Jun","https://wiki.d-addicts.com/Akiyama_Jun","180","null","/images/thumb/4/48/Akiyama_Jun.jpg/300px-Akiyama_Jun.jpg"
"1588812475-1268","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Han Young","https://wiki.d-addicts.com/Han_Young","175","null","/images/thumb/b/b5/Han_Young.jpg/300px-Han_Young.jpg"
